id,name,alias,name_en,category,kcal,protein,fat,carb,sodium
I0110102,牛紐約客火鍋片,,,肉類,263.0,20.1,19.6,0.0,34.0
I0110103,牛梅花肉火鍋片,,,肉類,120.0,20.3,3.7,0.9,57.0
I0110104,牛嫩肩里肌火鍋片,,,肉類,188.0,20.0,11.4,1.8,56.0
I01201,牛肚平均值,"百葉胃,毛肚,牛百葉,牛百頁,牛草肚(牛之第一胃);蜂巢肚,金錢肚(牛之第二胃)",,肉類,56.0,11.4,0.8,0.1,82.0
I0120101,牛肚(瘤胃),"百葉胃,毛肚,牛百葉,牛百頁,牛草肚(牛之第一胃,山鏈狀)",Beef paunch; Rumen; Mountain chain tripe,肉類,44.0,7.5,1.4,0.0,113.0
I0120102,牛肚切片(瘤胃),"百葉胃,毛肚,牛百葉,牛百頁,牛草肚(牛之第一胃)",Beef paunch: sliced; Rumen: sliced; Mountain chain tripe: sliced,肉類,67.0,15.3,0.2,0.3,51.0
I0120201,牛肚(蜂巢胃),"蜂巢肚,金錢肚(牛之第二胃)",Honeycomb tripe; Reticulum tripe,肉類,107.0,19.0,2.8,0.0,103.0
I0120301,牛筋,蹄筋,Beef Tendons,肉類,157.0,21.7,7.2,3.3,50.0
I0200101,山羊帶皮羊肉塊,,Goat meat,肉類,164.0,20.3,8.6,3.4,81.0
I0200201,山羊前腿肉片,,Goat: foreleg,肉類,123.0,21.3,3.5,0.0,60.0
I0200301,山羊後腿肉火鍋片,,Goat: shore leg,肉類,170.0,18.9,9.9,0.1,99.0
I0210101,綿羊肉切片,,Mutton,肉類,198.0,18.8,13.0,0.0,73.0
I0210201,法式羊排,"羊肋排,羊小排",Shoulder Frenched Rack,肉類,260.0,18.8,20.0,0.0,68.0
I0210301,去骨肩頸眼羊肉,,,肉類,198.0,17.8,13.5,0.0,57.0
I0210401,小羊腰脊肉,去骨腰脊肉,Boneless loin,肉類,143.0,26.5,3.3,0.0,54.0
I0210501,綿羊腹脅肉火鍋片,五花肉火鍋片,Boneless flap: sliced,肉類,252.0,16.9,20.0,2.5,76.0
I0300101,豬下肩肉,前腿肉,Pork: forefeet,肉類,200.0,18.1,13.6,0.0,54.0
I0300201,豬下肩瘦肉,前腿瘦肉,"Pork: forefeet, lean meat; Picnic shoulder",肉類,131.0,20.1,5.0,0.0,53.0
I0300301,豬上肩肉,梅花肉,Pork: part fat,肉類,207.0,18.9,14.0,0.0,52.0
I0300401,豬肩胛肉,胛心肉,Boston butt; Boston butt and picnic shoulder; Pork shoulder; Pork: forefeet,肉類,295.0,16.5,24.8,0.0,53.0
I0300501,豬肩胛排,中排,Shoulder ribs,肉類,191.0,17.9,12.7,0.0,97.0
I0300502,豬肩胛排(2021年取樣),,Pork shoulder steak,肉類,244.0,17.8,18.7,0.0,64.0
I0300601,豬前腿外腱肉,"豬腱,腱子肉",Foreshank,肉類,146.0,20.7,6.5,0.0,71.0
I0302101,豬後腿外腱肉,"豬腱,外腱",Shank: hind,肉類,184.0,19.0,11.4,0.8,66.0
I0302201,豬後腿肉,,Pork: hind leg; ham; Fresh ham,肉類,123.0,20.4,4.0,0.4,49.0
I0302301,豬後腿瘦肉,,"Pork: hind leg, lean meat",肉類,120.0,21.1,3.4,0.3,41.0
I0304101,豬大里肌,"背脊肉,里肌肉",Lean pork: fillet; Boneless loin; loin,肉類,212.0,19.2,14.4,0.0,40.0
I0304201,豬大排,"背脊,帶骨里肌",Center cut loin; Large sparerib; Loin: bone-in,肉類,214.0,19.1,14.7,0.0,55.0
I0304301,豬小排,"里肌小排,肋小排,肋骨排",Back ribs; Small sparerib,肉類,287.0,18.0,23.3,0.0,74.0
I0304401,僧帽肌,離緣肉,Trapicius muscle,肉類,209.0,20.4,13.5,0.0,48.0
I0306101,豬小里肌,腰內肉,Tenderloin,肉類,139.0,21.1,5.4,0.0,46.0
I0308101,豬去皮腹脇肉,"去皮五花肉,去皮三層肉",Pork belly meat: lean and fat; Shoulder (boston): skin-off,肉類,360.0,14.9,32.9,0.5,44.0
I0308201,豬帶皮腹脇肉,"帶皮五花肉,帶皮三層肉",Pork belly meat: lean and fat; Shoulder (boston),肉類,368.0,14.5,33.9,0.0,62.0
I0308301,豬腹脇排,"腩排,肉排,小排",Spareribs,肉類,267.0,18.7,20.7,0.0,67.0
I0310101,豬肝連,"肝連,隔胸肉,條仔肉(橫隔肌)",Pork diaphragm,肉類,220.0,14.6,17.5,0.0,43.0
I0310201,豬頰肉,"豬舌肉,菊花肉",Pork: cheek meat,肉類,182.0,17.5,11.9,1.4,65.0
I0310202,豬頰肉(2022年取樣),"豬舌肉,菊花肉",Pork: cheek meat,肉類,157.0,18.9,8.4,2.1,67.0
I0310301,豬頸肉,松阪豬肉,Pork jowl meat,肉類,284.0,17.2,23.3,0.8,43.0
I03104,豬絞肉平均值,,,肉類,212.0,18.7,14.6,0.0,58.0
I0310401,豬絞肉(70％瘦肉率),,Ground pork (70% lean),肉類,218.0,19.0,15.2,0.0,56.0
I0310402,豬絞肉(90％瘦肉率),,Ground pork (90% lean),肉類,205.0,18.5,14.0,0.0,61.0
I0320101,豬心,,Pork: heart,肉類,128.0,13.6,7.8,1.0,74.0
I0320201,豬白管,"豬管庭(廷),皇管(豬之胸大動脈)",Pork: aorta,肉類,93.0,14.1,3.6,0.0,68.0
I0320301,豬皮,,,肉類,491.0,22.1,44.0,0.0,109.0
I0320401,豬耳,,Pork: ear,肉類,219.0,24.2,12.8,0.9,175.0
I0320501,豬舌,,Pork: tongue,肉類,185.0,18.5,11.8,0.0,119.0
I0320601,豬血,,Pork: blood,肉類,29.0,6.3,0.3,0.5,179.0
I0320701,豬尾,,Pork: tail,肉類,295.0,16.2,25.0,7.1,92.0
I0320801,豬肝,,Pork: liver,肉類,137.0,20.8,5.3,1.7,84.0
I0321101,豬肚,豬胃,Pork: stomach,肉類,152.0,12.4,11.0,0.0,62.0
I0321201,熟豬肚,豬胃,"Pork: stomach, cooked",肉類,137.0,16.0,7.6,2.7,30.0
I0321301,豬油渣,,,肉類,837.0,17.4,84.5,0.0,153.0
I03214,豬骨湯平均值,高湯,,肉類,8.0,0.9,0.4,0.0,15.0
I0321401,豬大骨湯,高湯,Pork stock,肉類,7.0,1.0,0.3,0.4,23.0
I0321402,豬肋骨湯,"高湯,小骨湯,籤仔骨湯,冰仔骨湯,支骨湯",Pork stock,肉類,9.0,0.7,0.6,0.0,6.0
I0321403,豬肩骨湯,高湯,Pork stock,肉類,8.0,1.1,0.4,0.2,16.0
I0321501,豬軟骨,,,肉類,332.0,15.6,29.4,0.0,90.0
I0321601,豬腎,腰子,Pork: kidney,肉類,82.0,15.0,1.9,1.7,102.0
I0321701,豬脾臟,腰尺,Pork: spleen,肉類,79.0,15.0,1.6,2.0,51.0
I0321801,豬大腸,,Pork: large intestine,肉類,198.0,6.6,18.9,1.9,45.0
I0321901,豬小腸,,Pork: small intestine; Chitterlings,肉類,156.0,12.5,11.4,0.6,30.0
I0322001,豬空腸,粉腸,Pork jejunum,肉類,186.0,10.9,15.4,8.6,84.0
I0322101,豬前腳,"豬腳,豬蹄,短腳","Pork: feet, front",肉類,252.0,21.9,17.6,0.0,114.0
I0322201,豬後腳,"豬腳,豬蹄,長腳","Pork: feet, hind",肉類,253.0,19.5,18.8,0.0,69.0
I0322301,豬蹄膀,"豬腳,蹄膀,圓蹄",Pork hock,肉類,331.0,17.1,28.6,0.0,50.0
I0322501,豬腳筋,"蹄筋,長筋",,肉類,72.0,14.4,1.1,0.0,44.0
I0322601,豬腦,,Pork: brain,肉類,125.0,10.8,8.7,0.0,120.0
I0400101,土雞,"放山雞,走地雞",Taiwan native chicken,肉類,196.0,19.0,12.7,0.0,70.0
I0400201,肉雞,飼料雞,"Chicken: broiler, feed",肉類,248.0,16.1,19.9,0.0,44.0
I0400301,烏骨雞,"竹絲雞,絲羽烏骨雞,武山雞,烏雞",Silkie bantam; Silky fowl,肉類,212.0,17.9,15.1,0.9,42.0
I04021,里肌肉平均值,,,肉類,109.0,24.2,0.6,0.0,58.0
I0402101,里肌肉(土雞),,"Chicken: tenderloin, wild",肉類,112.0,24.8,0.6,0.0,72.0
I0402102,里肌肉(肉雞),,"Chicken: tenderloin, feed",肉類,106.0,23.7,0.6,0.0,44.0
I0402201,帶骨去皮對切胸(肉雞),,"Chicken: skinned breast halves with ribs, feed",肉類,104.0,22.4,0.9,0.0,49.0
I0402301,帶骨帶皮對切胸(肉雞),,"Chicken: breast halves with ribs, feed",肉類,219.0,19.3,15.1,0.0,47.0
I04024,去皮清肉平均值,,,肉類,119.0,23.3,2.1,0.0,50.0
I0402401,去皮清肉(土雞),去皮雞胸肉,"Chicken: skinned breast halves without ribs, wild",肉類,121.0,23.4,2.3,0.0,67.0
I0402402,去皮清肉(肉雞),去皮雞胸肉,"Chicken: skinned breast halves without ribs, feed",肉類,117.0,23.3,1.9,0.6,33.0
I04041,骨腿平均值,,,肉類,163.0,18.0,9.5,0.2,68.0
I0404101,骨腿(土雞),雞腿,"Chicken: leg quarters, wild",肉類,130.0,21.7,4.1,0.0,52.0
I0404102,骨腿(肉雞),雞腿,"Chicken: leg quarters, feed",肉類,196.0,14.4,14.9,1.7,84.0
I04042,清腿平均值,,,肉類,157.0,18.5,8.7,0.0,117.0
I0404201,清腿(土雞),雞腿,"Chicken: whole leg, wild",肉類,142.0,20.4,6.1,0.0,131.0
I0404202,清腿(肉雞),雞腿,"Chicken: whole leg, feed",肉類,173.0,16.6,11.3,0.0,103.0
I04043,棒棒腿平均值,,,肉類,151.0,18.9,7.8,0.0,139.0
I0404301,棒棒腿(土雞),雞腿,"Chicken: drumstick, wild",肉類,143.0,21.0,5.9,0.0,168.0
I0404302,棒棒腿(肉雞),雞腿,"Chicken: drumstick, feed",肉類,159.0,16.8,9.7,0.3,109.0
I04044,雞排平均值,,,肉類,183.0,17.1,12.2,0.0,86.0
I0404401,雞排(土雞),,Chicken cutlets: wild,肉類,158.0,18.9,8.6,0.0,97.0
I0404402,雞排(肉雞),,Chicken cutlets: feed,肉類,208.0,15.3,15.8,0.0,76.0
I0404403,雞排(肉雞)(2021年取樣),,,肉類,251.0,14.9,20.8,0.0,94.0
I0404501,去皮去骨雞腿(肉雞),,,肉類,165.0,19.8,8.9,0.0,68.0
I04061,二節翅平均值,,,肉類,226.0,18.1,16.4,0.0,83.0
I0406101,二節翅(土雞),,"Chicken : mid-joint and tip, wild",肉類,228.0,19.8,15.9,0.0,68.0
I0406102,二節翅(肉雞),,"Chicken : mid-joint and tip, feed",肉類,223.0,16.4,17.0,0.6,98.0
I04062,三節翅平均值,,,肉類,210.0,18.3,14.6,0.0,75.0
I0406201,三節翅(土雞),,"Chicken: whole wings, wild; Chicken: three joint wings, wild",肉類,198.0,19.0,13.0,0.0,66.0
I0406202,三節翅(肉雞),,"Chicken: whole wings, feed; Chicken: three joint wings, feed",肉類,222.0,17.7,16.3,0.0,85.0
I0406301,翅腿(肉雞),小雞腿,"Chicken: wing drummettes, feed",肉類,210.0,17.8,14.8,1.0,70.0
I0410101,雞絞肉,,Chicken: ground meat,肉類,131.0,27.4,1.6,0.0,38.0
I0420101,雞心(肉雞),,Chicken: heart,肉類,190.0,13.3,14.8,0.1,87.0
I0420102,雞心(肉雞)(2021年取樣),,chicken heart,肉類,204.0,14.4,15.8,1.2,85.0
I0420201,雞尾椎,雞屁股,,肉類,452.0,9.0,45.9,0.1,35.0
I0420301,雞肝(肉雞),,Chicken: liver,肉類,111.0,18.8,3.5,2.7,93.0
I0420401,雞胗(肉雞),雞肫,Chicken: gizzard,肉類,89.0,16.6,2.0,0.3,57.0
